% Dataset obtained from: http://homes.esat.kuleuven.be/~smc/daisy/
% Contributed by:
% 	Jairo Espinosa
% 	ESAT-SISTA KULEUVEN
% 	Kardinaal Mercierlaan 94
% B-3001 Heverlee Belgium
% 	jairo.espinosa@esat.kuleuven.ac.be
% Description:
% 	The data comes from a model of a Steam Generator at Abbott Power Plant in Champaign IL.
% 	The model is described in the paper of Pellegrineti [1].
% Sampling:
% 	3 sec
% Number:
% 	9600
% Inputs:
% 	u1: Fuel scaled 0-1
% 	u2: Air	scaled 0-1
% 	u3: Reference level inches
% 	u4: Disturbance definde by the load level
% Outputs:
% 	y1: Drum pressure PSI
% 	y2: Excess Oxygen in exhaust gases %
% 	y3: Level of water in the drum
% 	y4: Steam Flow Kg./s
% References:
% 	[1] G. Pellegrinetti and J. Benstman, Nonlinear Control Oriented Boiler Modeling -A Benchamrk Problem for Controller Design, IEEE Tran. Control Systems Tech. Vol.4No.1 Jan.1996
% 	[2] J. Espinosa and J. Vandewalle Predictive Control Using Fuzzy Models Applied to a Steam Generating Unit, Submitted to FLINS 98 3rd. International Workshop on Fuzzy Logic Systems and Intelligent Technologies for Nuclear Science and Industry
% Properties:
% 	To make possible the open loop identification the wter level was 
% 	stabilized by appliying to the water flow input a feedforward action proportional to the steam flow
% 	with value 0.0403 and a PI action with values Kp=0.258 Ti=1.1026e-4 the reference of this controller 
% 	is the input u3.
% Columns:
% 	Column 1: time-steps
% 	Column 2: input fuel
% 	Column 3: input air
% 	Column 4: input level ref.
% 	Column 5: input disturbance
% 	Column 6: output drum pressure
% 	Column 7: output excess oxygen
% 	Column 8: output water level
% 	Column 9: output steam flow
% Category:
% 	Process industry systems
% Where:
% 	ftp://ftp.esat.kuleuven.ac.be/pub/SISTA/espinosa/datasets/powplant.dat
@RELATION steamgen.dat

@ATTRIBUTE attr0	real
@ATTRIBUTE attr1	real
@ATTRIBUTE attr2	real
@ATTRIBUTE attr3	real
@ATTRIBUTE attr4	real
@ATTRIBUTE attr5	real
@ATTRIBUTE attr6	real
@ATTRIBUTE attr7	real
@ATTRIBUTE attr8	real

@DATA
0,0.72356750062005,0.69162867042982,-2.2830564120537,0.017982753309452,320.08238893611,2.5067738530481,0.032701299739161,9.3029700533148
3,0.52714738707288,0.38302019376586,-3.716481387851,0.018717890028551,321.71099019701,2.5459079477299,0.28479943644059,9.6626205840381
6,0.58960312299439,0.70581462743403,-1.5309929715976,0.020756328419718,320.91330769424,2.3605615428942,0.20365164556689,10.990955477931
9,0.36485422186219,0.71327772580233,-3.1730650036929,0.022927442924951,325.002517726,0.027054182311064,0.32618687913916,12.430107125754
12,0.57654010120706,0.36197809661364,-1.7962118855409,0.020370994255221,326.65276458017,0.28564942908941,0.75377625061167,13.681665628337
15,0.6431065937598,0.55950430666814,-2.8042676797114,0.023209106157185,326.18691637449,2.6313280711189,1.8518540642115,14.608886382335
18,0.49536400254932,0.69046091894808,-3.2074440063048,0.016374061158379,326.58939547019,0.99785527948915,2.3023395954002,15.713199583266
21,0.58507545275806,0.47051673491141,-1.0418465513424,0.015338045675742,328.73488603386,0.0044741483800637,2.4473565867294,16.536306800616
24,0.66465368818803,0.3602828680876,-1.9316751219282,0.017923064432316,329.60968598715,0.75569420865305,3.0366202333572,17.025368883552
27,0.643043139178,0.57408098882054,-1.4784810894588,0.011513460837292,330.18527054641,0.1504554867803,3.5675485464259,17.616130489723
30,0.46456114833988,0.38707387355098,-3.9133019028275,0.017580063776711,331.73910648523,0.012636969742543,3.462808628832,18.101963763192
33,0.4049214479601,0.66080277085538,-1.5986996299724,0.015723325940591,333.10734128331,0.012963787557214,3.4233811212003,18.617837902446
36,0.72437992226941,0.44619008294416,-3.9891634435977,0.014141722430715,332.25268128811,0.0014304903117097,3.5421268620467,18.635723397641
39,0.73130205337187,0.69771725208627,-1.150864527503,0.020671460239756,331.96419021727,1.2618659705116,3.542697726686,18.751322241293
42,0.71610820665151,0.47084660904754,-2.5096710864823,0.023348293129918,332.25844119478,-0.0045331284664273,3.0332127269454,19.508894229756
45,0.51915886422781,0.51086634169036,-0.9733955101204,0.017045046644834,332.6981910452,-0.036224067554567,2.1551742682672,20.456632121747
48,0.59527947339273,0.64285282579114,-3.3379950929112,0.018983813276284,333.71069868233,-0.028905017225878,2.1301210157364,20.896454958567
51,0.48403136963141,0.37717123559246,-2.5163600513816,0.010279152717062,334.92334449259,0.032445180603392,2.2673874055363,21.027555489571
54,0.40625211573273,0.68665376097414,-1.6666306492621,0.020761997592681,332.92219743519,0.066819178036113,2.2193279966221,20.836173956099
57,0.51517289447927,0.73014828346407,-1.7560674421384,0.013143529613081,330.91511414611,-0.017981384512695,1.5736882651789,20.700634625722
60,0.35369952866166,0.48739440454395,-2.1175136512627,0.02007895991721,328.32673962389,1.3176017285324,1.2966647010896,20.394276214629
63,0.51216967965044,0.64642243021566,-3.7401671403571,0.011627353824987,326.40364686597,3.1512735891499,0.5513159273558,20.2216065539
66,0.45300399278172,0.71843228485797,-1.3279497051792,0.021740968099094,323.65885890683,3.7267524275928,-0.11594850881589,19.741008572644
69,0.6487608251936,0.34339971242054,-2.0459455185422,0.01369154066986,322.0601255464,3.5486488719826,-0.54321365638264,19.849173637288
72,0.53384963917916,0.70924137647456,-1.8311088375722,0.012666236484711,320.43344027767,4.0108657107957,-1.184954324324,19.753393543104
75,0.3998697054044,0.34870601493274,-1.0826961266754,0.020909791778647,321.22978666431,0.60034757878194,-1.2325020233461,19.778569808655
78,0.57823590720953,0.70979805335479,-1.3743181465669,0.010350624621437,319.5896844739,0.35986419854152,-1.6780450371445,19.799859219852
81,0.44361803243743,0.66560408444514,-0.86145656097907,0.022472614786035,318.04451958021,0.53833610029271,-1.522747246607,19.439141252215
84,0.63785370963193,0.53517070700553,-3.6838048998701,0.016782261283036,316.75434566745,0.59206283539934,-1.6997059824852,19.58416198434
87,0.48575778579205,0.45467714693989,-1.1378218616985,0.01826897588009,314.49787963056,2.2091653534382,-1.998152980314,19.499001955777
90,0.36006478707816,0.39484178038294,-2.8561839236589,0.012938862299337,313.33382263388,1.6364503356474,-1.9931503633941,19.649350812086
93,0.66066444012938,0.70463398912409,-1.0607582317849,0.019753635894144,311.81620660889,-0.0077152759079733,-2.1874439435592,19.328393975409
96,0.51589146927041,0.64582543697485,-2.5792304287369,0.013735595108892,309.18216265953,0.087425934507562,-1.8598274682857,19.169509197907
99,0.61287777803226,0.35600690424406,-0.95756545163496,0.01761858445338,307.86685105631,0.29962485740032,-2.3164102729144,19.235622535315
102,0.60858472125923,0.49389311842833,-2.1410220660061,0.015179434910355,309.14511919835,0.92503970273102,-2.4560119425441,19.278400828635
105,0.61978822187524,0.60421281010174,-3.9524462833748,0.014320419096646,308.45214746371,0.020171863159385,-2.0323638029487,19.34002845783
108,0.36993515693102,0.69507850445632,-1.3962402966205,0.009636202140257,307.1421935071,-0.010024978155479,-2.2042178448125,19.342076486797
111,0.53681951134346,0.56283552954741,-2.2785668491686,0.020844464873398,306.72140705826,-0.016982704345205,-2.2121393240282,19.112733809697
114,0.57980531618894,0.43678935944524,-3.0810642578198,0.018543931509371,304.91387865386,1.727690747477,-2.1534249173551,18.867466724668
117,0.69844154497257,0.43384155428017,-1.3043437439833,0.017743059200531,304.23075302453,2.1234908416629,-2.0203669632517,19.073702675011
120,0.69513200162968,0.54008164090792,-1.354954604785,0.010611541641009,303.29297530591,-0.0042111192658077,-2.6744983704711,19.238703734751
123,0.63304929853633,0.5797495513225,-3.7940792041275,0.023729927322004,303.0388137016,-0.024038614096371,-2.6075902287674,19.330707135962
126,0.66618167917738,0.71391954555815,-1.5399486971943,0.01281085019008,303.5975858701,-0.018974643529869,-2.5526929931294,19.741819933142
129,0.69210011184699,0.42982554637787,-0.8531226163335,0.010553077724636,304.03449980774,-0.0034896809792755,-2.3948822933002,19.829021420302
132,0.73012225124116,0.5312727841714,-1.5971773474106,0.012054671674961,305.12324337178,0.019294486297744,-2.1151914941185,19.73419024999
135,0.70811054123444,0.46732631114385,-3.2897601494936,0.012726816771369,304.95864039461,-0.0017105371285964,-1.9420953106092,19.722264334236
138,0.37664535584365,0.48773483470746,-3.7100515305708,0.0093828987882025,306.46573794384,0.016727896907231,-1.8605484156096,19.838406501361
141,0.53580995271075,0.56176002038498,-2.486684834083,0.019388097390093,306.546852689,-0.009214462046552,-1.9082087054954,19.686409067041
144,0.54002396906906,0.42580408356798,-1.093686221406,0.019148543136384,305.02674393626,0.3025787776821,-1.7083821569216,19.420518891993
147,0.41354254600538,0.38859189779181,-3.0372112916912,0.017987337953021,303.78855345548,0.74996984087857,-1.6005819206039,19.458585160024
150,0.62084897851984,0.44822070107952,-1.1367064650584,0.022573145002034,301.31821623107,-0.031101410534049,-2.3770462877504,19.388755465461
153,0.69515789439172,0.48456876509567,-2.9177515302816,0.019818468546234,298.35222702728,-0.045692007737264,-2.6748460693997,19.331936205852
156,0.45207763451986,0.53512732686534,-1.472060078869,0.014609775830491,299.21313263824,0.0016525178347342,-2.7144922905758,19.706821018669
159,0.34784238102879,0.5566970322841,-3.5926875242067,0.018956346310591,299.45291895962,-0.0078110909302523,-2.887918473365,19.818001173265
162,0.513305823446,0.47326848902961,-1.7723602322234,0.013913794597038,298.82657373309,0.25720410982038,-2.4947330775215,19.503039096056
165,0.41668282399615,0.54053394002912,-1.6243685496052,0.01298551852586,295.28399162646,1.9240392286542,-2.2350921378121,18.989662960657
168,0.45878679491292,0.38411156088038,-2.8932374605408,0.023291008579136,293.36593495662,1.8230812692834,-2.6084241580339,18.621072822371
171,0.7032563999925,0.35875060530862,-1.1179978847634,0.018756678024579,291.07867053929,1.7116271281668,-2.9625302070748,18.534034134166
174,0.55827998362547,0.6299826651251,-2.6460049698769,0.012789520678564,290.20311481471,0.80207484102225,-2.9993996113717,18.593331743602
177,0.60127344807406,0.67748833137134,-3.6383786786498,0.013954361163912,290.71683155748,0.0071790636153238,-3.1745492480517,18.664087656446
180,0.60522527010744,0.41632006418157,-0.83544703036062,0.0098960310618689,290.92520517094,0.09260325534328,-3.0013600126738,18.542792554289
183,0.67708713172142,0.69422708971134,-2.9862289177052,0.014643918782583,292.0080646685,0.5751021479774,-2.4576002249418,18.381650430507
186,0.56551081919422,0.51075872278328,-0.8648716718777,0.010614015216458,291.69909277303,0.014718396540564,-2.4576154763945,18.366319041208
189,0.64966148645108,0.46416159349022,-0.95683011948705,0.016910900806982,290.81191529933,-0.028644111187647,-2.5922136992862,18.35847465921
192,0.71749391424164,0.71419044779031,-1.8838963321954,0.016663158304729,291.5703578144,0.0034508098385976,-2.7109466402817,18.310148878422
195,0.66189236358621,0.58418933850289,-1.2194576083992,0.020585742072111,292.87916547602,0.029561148050589,-2.2844853597493,18.671320951476
198,0.62786787491365,0.723465776542,-2.2391573738911,0.022854407603699,292.49988981301,-0.015590074231436,-2.5448450709555,19.095533554858
201,0.72557279229165,0.60142314752125,-3.9462185150946,0.01575539657471,293.48794783335,0.0010837110524368,-2.3321913573147,19.519948927056
204,0.66309988823233,0.50490493784747,-3.3995495540682,0.018829903125458,292.47833292639,0.16735956267484,-2.0673711958154,19.652748829848
207,0.60137612886664,0.46345112442218,-1.1262193940759,0.018773147440518,294.34889432785,0.0060749499056624,-1.7614487367715,19.952450771955
210,0.72826125879165,0.52522217251235,-1.4427014801712,0.01117708285322,294.44002011156,-0.0095494948914864,-1.5692029943415,20.146499220401
213,0.55262843777265,0.46786811471896,-3.4809857622433,0.01150188078497,293.16482466275,-0.030702452337657,-1.4593074177639,19.887906532322
216,0.69790128764316,0.72279802210662,-1.4850928153664,0.023784991518069,295.00018851896,0.0071415364805957,-1.403392034335,19.824380301794
219,0.59817548149488,0.5196333343127,-3.106253735247,0.01654446302815,295.94226791431,0.038087968364391,-1.412502186011,19.962698412805
222,0.66921490079604,0.6752310470204,-2.4506954453054,0.015705063900797,295.7480316391,0.013384211128857,-1.2336112406364,20.110549317833
225,0.41431285944224,0.39246315867982,-0.94950315332951,0.020659518650359,295.23025995623,-0.0012473231582762,-1.4491489429512,20.095481249848
228,0.65471742375567,0.59514601193559,-2.4309080366366,0.022135421767912,297.8956559267,0.060405430223355,-0.96422763680954,20.207923405095
231,0.62025041008268,0.45675504818178,-3.4883216272991,0.01314102857475,294.13353271967,-0.0062995758078147,-1.1638245261009,20.001644510089
234,0.63834306222178,0.5784107461301,-2.8006329380831,0.010098131378013,295.00146031704,0.026057947613643,-1.0314954113351,20.070029028736
237,0.37524362565809,0.47304116024522,-2.6823327779204,0.019701488859888,295.29245525886,0.020873180744034,-1.4455502113005,19.741400288488
240,0.26209368719525,0.80241286766439,-3.809571206379,0.00066090712438811,295.82348305275,0.021479081550803,-1.1051590743612,19.751994425065
243,0.17839317186502,0.67176057202117,-3.2553495139074,0.005482587623919,293.50960462062,0.7738662287847,-1.2813497026489,18.594969370583
246,0.2236697810735,0.95328212531403,-3.7362629263515,0.01157205560488,289.07092660468,4.0920988741743,-1.6415713420352,17.311782893909
249,0.13356307359139,0.85770742627487,-1.6761245153328,0.0031261864297778,286.24411894614,8.0345280417054,-2.3613152598161,16.332960589684
252,0.13149655820065,0.93059816905666,-3.6503224730258,0.0056018851477518,282.7429226701,10.933450834569,-3.2812094150235,15.419200170211
255,0.00021680463101645,0.94319866827848,-3.8925612457888,-0.00063657362288388,277.71600892872,13.286830990224,-4.3887268113267,14.261017865841
258,0.01531284637118,0.97329182389925,-3.4062988856342,-0.0016441840601414,276.61191680442,15.263013791368,-4.8089730522534,13.209497651046
261,0.31221573805467,0.66725139826513,-1.0748410643949,0.0092604488009535,271.92225969612,17.460509766427,-5.5523381019898,11.816199685238
264,0.0054908846386609,1.0454763131268,-3.9244119368271,0.0034615251903516,266.77049641056,19.382826872857,-6.2204295775608,10.980077507775
